plot_id,shannon,simpson,richness,evenness,year,layer,abandoned,age,,,
1caa,0.471260945,0.193196363,8,0.226628609,2023,ground,n,0,,0.049072197,0.790905975
1caa,1.738517384,0.725283623,24,0.547038369,2024,ground,n,1,,,
1o,1.680146821,0.756899876,18,0.581290907,2023,ground,n,2,,,
1gc,1.575100761,0.748445643,19,0.534940874,2023,ground,n,3,,,
1o,0.887763559,0.34776367,15,0.327823893,2024,ground,n,3,,,
1gb,1.816556313,0.763947171,15,0.670798611,2023,ground,n,4,,,
1gc,1.791212795,0.790905975,17,0.632219525,2024,ground,n,4,,,
1gb,1.012725461,0.457854307,9,0.46091122,2024,ground,n,5,,,
1i,1.074254375,0.575337964,14,0.407059886,2023,ground,n,6,,,
1i,0.904290663,0.551807117,12,0.434871885,2024,ground,n,7,,,
2e,0.812801165,0.417888386,7,0.417697171,2023,ground,n,8,,,
2e,0.527092155,0.254807212,6,0.32750077,2024,ground,n,9,,,
1mb,0.145352689,0.049072197,6,0.08112288,2023,ground,n,10,,,
1ma,0.782655703,0.436733655,6,0.436808465,2023,ground,n,11,,,
1mb,0.30885023,0.141302853,7,0.158717621,2024,ground,n,11,,,
1ma,0.57397297,0.278879171,11,0.249273294,2024,ground,n,12,,0.061073606,0.771782254
1cab,1.16599179,0.529714808,8,0.560723524,2023,ground,n,14,,,
1cab,1.070432056,0.504545577,7,0.597419505,2024,ground,n,15,,,
1j,0.99631635,0.572425841,10,0.432694693,2023,ground,y,20,,,
1j,1.609458659,0.771782254,12,0.671196394,2024,ground,y,21,,,
1f,1.224418136,0.583987058,8,0.588820658,2023,ground,y,A,,,
 1ga,0.783299568,0.37795995,17,0.276470379,2023,ground,y,A,,,
1h,0.344405623,0.138619066,8,0.165624095,2023,ground,y,A,,,
1mc,0.166364509,0.063274593,5,0.103368081,2023,ground,y,A,,,
1n,0.268044924,0.101357341,6,0.149598721,2023,ground,y,A,,,
1f,1.778527586,0.768133175,11,0.741703612,2024,ground,y,A,,,
 1ga,0.694040729,0.278709433,16,0.256287985,2024,ground,y,A,,,
1h,0.180305228,0.061073606,9,0.092658558,2024,ground,y,A,,,
1mc,0.254860543,0.109159689,5,0.158353759,2024,ground,y,A,,,
1n,0.932151077,0.526429187,7,0.479030894,2024,ground,y,A,,,
1caa,1.33217904,0.72,4,0.960964047,2023,shrub,n,0,,0.074575836,0.72
1caa,1.193143521,0.643547206,6,0.665906078,2024,shrub,n,1,,,
1o,0.521329149,0.238159579,8,0.250706326,2023,shrub,n,2,,,
1gc,0.195745577,0.074575836,6,0.109247687,2023,shrub,n,3,,,
1o,0.698892976,0.379708852,5,0.434246621,2024,shrub,n,3,,,
1gb,1.007798185,0.500462946,11,0.420284487,2023,shrub,n,4,,,
1gc,1.086527584,0.599693559,6,0.606402591,2024,shrub,n,4,,,
1gb,1.303463952,0.667840056,8,0.62683366,2024,shrub,n,5,,,
1i,1.095528943,0.559463634,8,0.526838058,2023,shrub,n,6,,,
1i,1.035971654,0.517116528,7,0.532384116,2024,shrub,n,7,,,
2e,0.344287107,0.145325444,4,0.248350651,2023,shrub,n,8,,,
2e,0.741082819,0.430274306,4,0.534578254,2024,shrub,n,9,,,
1mb,0.888544849,0.548747307,4,0.640949624,2023,shrub,n,10,,,
1ma,1.12075314,0.602253503,5,0.696363079,2023,shrub,n,11,,,
1mb,1.132112505,0.629303089,5,0.703421049,2024,shrub,n,11,,,
1ma,1.294206357,0.699396307,6,0.722310321,2024,shrub,n,12,,0,0.804511418
1cab,1.007569906,0.515565155,6,0.562335471,2023,shrub,n,14,,,
1cab,0.945662278,0.523461076,6,0.527784167,2024,shrub,n,15,,,
1j,1.096229066,0.541624752,7,0.5633503,2023,shrub,y,20,,,
1j,1.068213503,0.556373514,5,0.663718367,2024,shrub,y,21,,,
1f,0,0,1,0,2023,shrub,y,A,,,
 1ga,1.446964144,0.734203375,6,0.807566065,2023,shrub,y,A,,,
1h,0.313619905,0.130905126,4,0.226228941,2023,shrub,y,A,,,
1mc,0.307773716,0.133604824,4,0.222011807,2023,shrub,y,A,,,
1n,0.556092922,0.244748037,5,0.345519959,2023,shrub,y,A,,,
1f,0.888464342,0.535421858,4,0.64089155,2024,shrub,y,A,,,
 1ga,1.806755486,0.804511418,10,0.784663938,2024,shrub,y,A,,,
1h,0.273864403,0.12657897,5,0.170161521,2024,shrub,y,A,,,
1mc,0.366683575,0.175710001,4,0.264506287,2024,shrub,y,A,,,
1n,0.219840343,0.098834105,3,0.200107304,2024,shrub,y,A,,,
